Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,AV,Team,Round,Pick
Austin Corbett,G,76,306,5.15,28,19,106,7.87,4.5,2018,0,Undrafted,-1,-1
Keke Coutee,WR,70,181,4.43,34.5,14,113,6.93,4.15,2018,0,Undrafted,-1,-1
Chris Covington,OLB,74,245,4.78,-1,23,-1,-1,-1,2018,0,Undrafted,-1,-1
Justin Crawford,RB,71,199,4.64,33.5,11,122,-1,-1,2018,0,Undrafted,-1,-1
Tyrell Crosby,OT,77,309,5.23,30,17,105,7.89,4.77,2018,0,Undrafted,-1,-1
Dane Cruikshank,S,73,206,4.41,38.5,25,121,6.89,4.24,2018,0,Undrafted,-1,-1
Trevor Daniel,P,73,230,4.98,32.5,23,119,-1,-1,2018,0,Undrafted,-1,-1
James Daniels,C,75,306,-1,30.5,21,108,7.29,4.4,2018,0,Undrafted,-1,-1
Sam Darnold,QB,75,221,4.85,26.5,-1,105,6.96,4.4,2018,0,Undrafted,-1,-1
Marcus Davenport,DE,78,264,4.58,33.5,22,124,7.2,4.41,2018,0,Undrafted,-1,-1
Joseph Davidson,P,79,232,-1,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Carlton Davis,CB,73,203,4.53,34,16,124,-1,-1,2018,0,Undrafted,-1,-1
Duke Dawson,CB,70,208,4.46,-1,15,-1,-1,-1,2018,0,Undrafted,-1,-1
Dee Delaney,CB,73,194,4.46,32.5,13,120,6.95,4.25,2018,0,Undrafted,-1,-1
Nick Deluca,OLB,75,251,4.85,29.5,18,112,7.09,4.23,2018,0,Undrafted,-1,-1
Jamil Demby,G,76,319,5.58,23.5,17,98,7.86,4.95,2018,0,Undrafted,-1,-1
Matt Dickerson,DE,76,292,5.06,31,26,-1,-1,-1,2018,0,Undrafted,-1,-1
Michael Dickson,P,74,208,-1,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Will Dissly,TE,76,262,4.87,28,15,111,7.07,4.4,2018,0,Undrafted,-1,-1
Garret Dooley,EDGE,75,248,4.8,33,21,121,-1,4.28,2018,0,Undrafted,-1,-1
Chase Edmonds,RB,69,205,4.55,34,19,122,6.79,4.07,2018,0,Undrafted,-1,-1
Terrell Edmunds,S,74,220,4.47,41.5,-1,134,-1,-1,2018,0,Undrafted,-1,-1
Tremaine Edmunds,LB,77,253,4.54,-1,19,117,-1,-1,2018,0,Undrafted,-1,-1
Duke Ejiofor,DE,76,264,-1,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Deshon Elliott,S,74,205,4.58,36,15,121,-1,-1,2018,0,Undrafted,-1,-1
Donnie Ernsberger,RB,75,241,4.78,31,15,114,7.09,4.34,2018,0,Undrafted,-1,-1
Leighton Vander esch,ILB,76,256,4.65,39.5,20,124,6.88,4.15,2018,0,Undrafted,-1,-1
Danny Etling,QB,74,222,4.76,30.5,-1,114,7.09,4.37,2018,0,Undrafted,-1,-1
Rashaan Evans,LB,75,232,-1,30,-1,116,6.95,4.36,2018,0,Undrafted,-1,-1
Brandon Facyson,CB,74,197,4.53,-1,16,-1,-1,-1,2018,0,Undrafted,-1,-1
Luke Falk,QB,76,215,-1,26.5,-1,103,-1,-1,2018,0,Undrafted,-1,-1
Rashard Fant,CB,70,175,-1,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Foley Fatukasi,DT,76,318,5.29,30,33,112,7.44,4.53,2018,0,Undrafted,-1,-1
Riley Ferguson,QB,75,212,4.98,29,-1,110,6.96,4.4,2018,0,Undrafted,-1,-1
Kylie Fitts,EDGE,76,263,4.69,32.5,31,117,6.88,4.19,2018,0,Undrafted,-1,-1
Minkah Fitzpatrick,DB,73,201,4.46,33,14,121,-1,-1,2018,0,Undrafted,-1,-1
Dimitri Flowers,RB,74,248,4.83,30.5,17,109,7.45,4.53,2018,0,Undrafted,-1,-1
Quinton Flowers,QB,70,214,4.63,-1,-1,112,6.81,4.57,2018,0,Undrafted,-1,-1
Tre Flowers,S,75,200,4.45,34.5,18,122,-1,-1,2018,0,Undrafted,-1,-1
Robert Foster,WR,74,196,4.41,31,-1,116,6.9,4.2,2018,0,Undrafted,-1,-1
Jarvion Franklin,RB,71,239,4.63,30,18,109,6.93,4.31,2018,0,Undrafted,-1,-1
John Franklin-Myers,DE,76,283,4.75,33,26,113,7.36,4.48,2018,0,Undrafted,-1,-1
Joshua Frazier,DT,76,321,-1,-1,21,-1,-1,-1,2018,0,Undrafted,-1,-1
Royce Freeman,RB,71,229,4.54,34,17,118,6.9,4.16,2018,0,Undrafted,-1,-1
Troy Fumagalli,TE,77,247,-1,-1,14,-1,-1,-1,2018,0,Undrafted,-1,-1
Michael Gallup,WR,73,205,4.51,36,10,122,6.95,4.37,2018,0,Undrafted,-1,-1
Nick Gates,OT,77,307,5.46,24,20,94,7.61,4.68,2018,0,Undrafted,-1,-1
Rashaan Gaulden,CB,73,193,4.61,30,8,119,7.16,4.33,2018,0,Undrafted,-1,-1
Mike Gesicki,TE,77,247,4.54,41.5,22,129,6.76,4.1,2018,0,Undrafted,-1,-1
Dallas Goedert,TE,77,256,-1,-1,23,-1,-1,-1,2018,0,Undrafted,-1,-1
Colby Gossett,G,77,311,5.2,25,32,103,7.6,4.83,2018,0,Undrafted,-1,-1
Davon Grayson,WR,73,199,4.51,34.5,19,124,-1,-1,2018,0,Undrafted,-1,-1
Rasheem Green,DE,77,275,4.73,32.5,-1,118,7.24,4.39,2018,0,Undrafted,-1,-1
Shaquem Griffin,OLB,73,227,4.38,-1,20,117,-1,-1,2018,0,Undrafted,-1,-1
Derrius Guice,RB,70,224,4.49,31.5,15,-1,-1,-1,2018,0,Undrafted,-1,-1
Grant Haley,CB,69,190,4.44,34,15,119,6.51,3.94,2018,0,Undrafted,-1,-1
Daesean Hamilton,WR,73,203,-1,34.5,-1,118,6.84,4.15,2018,0,Undrafted,-1,-1
Shaun dion Hamilton,ILB,72,228,-1,-1,20,-1,-1,-1,2018,0,Undrafted,-1,-1
Dashawn Hand,DE,76,297,4.83,31.5,28,111,7.98,4.62,2018,0,Undrafted,-1,-1
Davontae Harris,CB,72,200,4.43,32.5,22,123,6.96,4.4,2018,0,Undrafted,-1,-1
Marcell Harris,S,72,208,-1,-1,16,-1,-1,-1,2018,0,Undrafted,-1,-1
Desmond Harrison,OT,78,292,4.9,-1,-1,-1,-1,-1,2018,0,Undrafted,-1,-1
Ronnie Harrison,S,75,214,-1,34,-1,120,-1,-1,2018,0,Undrafted,-1,-1
Marquis Haynes,EDGE,75,235,4.67,32,23,123,7.14,4.45,2018,0,Undrafted,-1,-1
Taylor Hearn,G,76,320,5.45,24,18,96,7.84,4.8,2018,0,Undrafted,-1,-1
James Hearns,EDGE,75,239,4.89,-1,22,-1,-1,-1,2018,0,Undrafted,-1,-1
Quadree Henderson,WR,68,192,4.5,32.5,12,120,6.89,4.28,2018,0,Undrafted,-1,-1
Zaycoven Henderson,DT,72,298,5.16,29.5,20,105,7.33,4.58,2018,0,Undrafted,-1,-1
Will Hernandez,G,74,327,5.15,24,37,104,7.59,4.7,2018,0,Undrafted,-1,-1
