Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,AV,Team,Round,Pick
Jason Cabinda,ILB,73,239,,,19,,,,2018,0,,,
Deon Cain,WR,74,202,4.43,33.5,11,115,6.71,4.37,2018,0,,,
Antonio Callaway,WR,71,200,4.41,34,,121,,,2018,0,,,
Chris Campbell,CB,73,194,,,14,,,,2018,0,,,
Dylan Cantrell,WR,75,226,4.59,38.5,18,130,6.56,4.03,2018,0,,,
Alex Cappa,OT,78,305,5.39,26.5,24,97,8.04,4.84,2018,0,,,
Tanner Carew,LS,73,243,5,30,18,111,7.26,4.28,2018,0,,,
Daniel Carlson,K,77,213,,,,,,,2018,0,,,
Lorenzo Carter,EDGE,78,250,4.5,36,,130,,,2018,0,,,
Andre Chachere,CB,72,200,4.49,38,13,123,6.78,4.07,2018,0,,,
Sean Chandler,S,72,190,4.65,34.5,16,119,,4.62,2018,0,,,
D.J. Chark,WR,75,199,4.34,40,16,129,,,2018,0,,,
Geron Christian,OT,77,298,5.33,,19,,,,2018,0,,,
Bradley Chubb,DE,76,269,4.65,36,24,121,7.37,4.41,2018,0,,,
Nick Chubb,RB,71,227,4.52,38.5,29,128,7.09,4.25,2018,0,,,
Jack Cichy,ILB,74,238,,,18,,,,2018,0,,,
Will Clapp,C,76,311,5.39,29,25,97,8.04,4.92,2018,0,,,
Simmie Cobbs,WR,75,220,4.64,30,11,113,6.7,4.32,2018,0,,,
Mason Cole,C,76,307,5.23,23.5,23,104,7.77,4.78,2018,0,,,
Lavon Coleman,RB,71,215,4.65,33,23,120,,,2018,0,,,
Tyler Conklin,TE,75,254,4.8,38,18,120,7.13,4.23,2018,0,,,
Austin Corbett,G,76,306,5.15,28,19,106,7.87,4.5,2018,0,,,
Keke Coutee,WR,70,181,4.43,34.5,14,113,6.93,4.15,2018,0,,,
Chris Covington,OLB,74,245,4.78,,23,,,,2018,0,,,
Justin Crawford,RB,71,199,4.64,33.5,11,122,,,2018,0,,,
Tyrell Crosby,OT,77,309,5.23,30,17,105,7.89,4.77,2018,0,,,
Dane Cruikshank,S,73,206,4.41,38.5,25,121,6.89,4.24,2018,0,,,
Trevor Daniel,P,73,230,4.98,32.5,23,119,,,2018,0,,,
James Daniels,C,75,306,,30.5,21,108,7.29,4.4,2018,0,,,
Sam Darnold,QB,75,221,4.85,26.5,,105,6.96,4.4,2018,0,,,
Marcus Davenport,DE,78,264,4.58,33.5,22,124,7.2,4.41,2018,0,,,
Joseph Davidson,P,79,232,,,,,,,2018,0,,,
Carlton Davis,CB,73,203,4.53,34,16,124,,,2018,0,,,
Duke Dawson,CB,70,208,4.46,,15,,,,2018,0,,,
Dee Delaney,CB,73,194,4.46,32.5,13,120,6.95,4.25,2018,0,,,
Nick Deluca,OLB,75,251,4.85,29.5,18,112,7.09,4.23,2018,0,,,
Jamil Demby,G,76,319,5.58,23.5,17,98,7.86,4.95,2018,0,,,
Matt Dickerson,DE,76,292,5.06,31,26,,,,2018,0,,,
Michael Dickson,P,74,208,,,,,,,2018,0,,,
Will Dissly,TE,76,262,4.87,28,15,111,7.07,4.4,2018,0,,,
Garret Dooley,EDGE,75,248,4.8,33,21,121,,4.28,2018,0,,,
Chase Edmonds,RB,69,205,4.55,34,19,122,6.79,4.07,2018,0,,,
Terrell Edmunds,S,74,220,4.47,41.5,,134,,,2018,0,,,
Tremaine Edmunds,LB,77,253,4.54,,19,117,,,2018,0,,,
Duke Ejiofor,DE,76,264,,,,,,,2018,0,,,
Deshon Elliott,S,74,205,4.58,36,15,121,,,2018,0,,,
Donnie Ernsberger,RB,75,241,4.78,31,15,114,7.09,4.34,2018,0,,,
Leighton Vander esch,ILB,76,256,4.65,39.5,20,124,6.88,4.15,2018,0,,,
Danny Etling,QB,74,222,4.76,30.5,,114,7.09,4.37,2018,0,,,
Rashaan Evans,LB,75,232,,30,,116,6.95,4.36,2018,0,,,
Brandon Facyson,CB,74,197,4.53,,16,,,,2018,0,,,
Luke Falk,QB,76,215,,26.5,,103,,,2018,0,,,
Rashard Fant,CB,70,175,,,,,,,2018,0,,,
Foley Fatukasi,DT,76,318,5.29,30,33,112,7.44,4.53,2018,0,,,
Riley Ferguson,QB,75,212,4.98,29,,110,6.96,4.4,2018,0,,,
Kylie Fitts,EDGE,76,263,4.69,32.5,31,117,6.88,4.19,2018,0,,,
Minkah Fitzpatrick,DB,73,201,4.46,33,14,121,,,2018,0,,,
Dimitri Flowers,RB,74,248,4.83,30.5,17,109,7.45,4.53,2018,0,,,
Quinton Flowers,QB,70,214,4.63,,,112,6.81,4.57,2018,0,,,
Tre Flowers,S,75,200,4.45,34.5,18,122,,,2018,0,,,
Robert Foster,WR,74,196,4.41,31,,116,6.9,4.2,2018,0,,,
Jarvion Franklin,RB,71,239,4.63,30,18,109,6.93,4.31,2018,0,,,
John Franklin-Myers,DE,76,283,4.75,33,26,113,7.36,4.48,2018,0,,,
Joshua Frazier,DT,76,321,,,21,,,,2018,0,,,
Royce Freeman,RB,71,229,4.54,34,17,118,6.9,4.16,2018,0,,,
Troy Fumagalli,TE,77,247,,,14,,,,2018,0,,,
Michael Gallup,WR,73,205,4.51,36,10,122,6.95,4.37,2018,0,,,
Nick Gates,OT,77,307,5.46,24,20,94,7.61,4.68,2018,0,,,
Rashaan Gaulden,CB,73,193,4.61,30,8,119,7.16,4.33,2018,0,,,
Mike Gesicki,TE,77,247,4.54,41.5,22,129,6.76,4.1,2018,0,,,
Dallas Goedert,TE,77,256,,,23,,,,2018,0,,,
Colby Gossett,G,77,311,5.2,25,32,103,7.6,4.83,2018,0,,,
Davon Grayson,WR,73,199,4.51,34.5,19,124,,,2018,0,,,
Rasheem Green,DE,77,275,4.73,32.5,,118,7.24,4.39,2018,0,,,
Shaquem Griffin,OLB,73,227,4.38,,20,117,,,2018,0,,,
Derrius Guice,RB,70,224,4.49,31.5,15,,,,2018,0,,,
Grant Haley,CB,69,190,4.44,34,15,119,6.51,3.94,2018,0,,,
Daesean Hamilton,WR,73,203,,34.5,,118,6.84,4.15,2018,0,,,
Shaun dion Hamilton,ILB,72,228,,,20,,,,2018,0,,,
Dashawn Hand,DE,76,297,4.83,31.5,28,111,7.98,4.62,2018,0,,,
Davontae Harris,CB,72,200,4.43,32.5,22,123,6.96,4.4,2018,0,,,
Marcell Harris,S,72,208,,,16,,,,2018,0,,,
Desmond Harrison,OT,78,292,4.9,,,,,,2018,0,,,
Ronnie Harrison,S,75,214,,34,,120,,,2018,0,,,
Marquis Haynes,EDGE,75,235,4.67,32,23,123,7.14,4.45,2018,0,,,
Taylor Hearn,G,76,320,5.45,24,18,96,7.84,4.8,2018,0,,,
James Hearns,EDGE,75,239,4.89,,22,,,,2018,0,,,
Quadree Henderson,WR,68,192,4.5,32.5,12,120,6.89,4.28,2018,0,,,
Zaycoven Henderson,DT,72,298,5.16,29.5,20,105,7.33,4.58,2018,0,,,
Will Hernandez,G,74,327,5.15,24,37,104,7.59,4.7,2018,0,,,
Chris Herndon,TE,76,253,,,21,,,,2018,0,,,
Kyle Hicks,RB,70,204,4.63,36.5,13,122,,,2018,0,,,
B.J. Hill,DT,76,311,4.99,26.5,35,101,7.28,4.53,2018,0,,,
Holton Hill,CB,75,200,4.49,31,14,120,6.83,4.15,2018,0,,,
Nyheim Hines,RB,68,198,4.38,35.5,,119,7.18,4.35,2018,0,,,
Jeff Holland,EDGE,74,249,4.79,,,116,,,2018,0,,,
Jalyn Holmes,DE,77,283,4.82,32,25,,,,2018,0,,,
Sam Hubbard,DE,77,270,,35,,116,6.84,4.32,2018,0,,,
Mike Hughes,CB,71,191,4.53,35.5,20,127,6.7,4.13,2018,0,,,
Hayden Hurst,TE,76,250,4.67,31.5,,120,7.19,4.37,2018,0,,,
Maurice Hurst,DT,74,292,,,,,,,2018,0,,,
Godwin Igwebuike,S,72,205,4.44,35.5,19,128,6.56,4.12,2018,0,,,
Darren Carrington II,WR,74,199,,36,,120,,,2018,0,,,
Joel Iyiegbuniwe,LB,73,229,4.6,35,19,117,7.06,4.28,2018,0,,,
Ryan Izzo,TE,77,256,4.94,33,18,110,7.15,4.43,2018,0,,,
Darius Jackson,EDGE,75,242,4.87,26.5,21,113,7.52,,2018,0,,,
Donte Jackson,CB,71,175,4.32,,7,124,,,2018,0,,,
J.C. Jackson,CB,71,193,4.46,35.5,14,120,,,2018,0,,,
Josh Jackson,CB,73,192,4.56,38,18,123,6.86,4.03,2018,0,,,
Justin Jackson,RB,72,199,4.52,38.5,13,122,6.81,4.07,2018,0,,,
Lamar Jackson,QB,74,216,,,,,,,2018,0,,,
Leon Jacobs,EDGE,75,246,4.48,34.5,26,122,7.14,4.44,2018,0,,,
Natrell Jamerson,S,72,198,4.4,35.5,25,120,,,2018,0,,,
Derwin James,S,75,215,4.47,40,21,132,,,2018,0,,,
Richie James,WR,70,183,4.48,35.5,6,122,6.87,4.16,2018,0,,,
Malik Jefferson,OLB,75,236,4.52,36,27,125,,,2018,0,,,
Josey Jewell,ILB,73,234,4.82,33,18,117,6.8,4.27,2018,0,,,
Danny Johnson,CB,70,185,4.44,35,15,123,,,2018,0,,,
Kerryon Johnson,RB,71,213,,40,11,126,7.07,4.29,2018,0,,,
Taron Johnson,CB,72,180,4.5,33,17,118,7.03,4.28,2018,0,,,
Chris Jones-04,CB,72,195,4.57,,14,,,,2018,0,,,
Jamarco Jones,OT,76,299,5.5,24,,102,8.32,4.99,2018,0,,,
Justin Jones,DT,74,309,5.09,29,24,104,7.82,4.74,2018,0,,,
Ronald Jones,RB,71,205,4.65,36.5,,,,,2018,0,,,
Sam Jones,G,77,305,5.32,27,28,101,7.92,4.86,2018,0,,,
Jaryd Jones-Smith,OT,78,317,5.22,27,16,109,8.1,4.94,2018,0,,,
Michael Joseph,CB,73,181,,34,17,,6.89,4.2,2018,0,,,
Peter Kalambayi,EDGE,75,252,4.57,34,19,121,7.13,4.36,2018,0,,,
Joshua Kalu,S,73,195,4.58,41.5,17,134,,,2018,0,,,
John Kelly,RB,70,216,,35,15,120,7.13,4.51,2018,0,,,
Kameron Kelly,S,74,200,4.66,33,9,120,6.94,4.28,2018,0,,,
Arden Key,EDGE,78,238,,31,,117,7.16,4.25,2018,0,,,
Jamarcus King,CB,73,186,4.7,,,,,,2018,0,,,
Christian Kirk,WR,70,201,4.47,35.5,20,115,7.09,4.45,2018,0,,,
Micah Kiser,ILB,74,238,4.66,35.5,,121,7.05,4.24,2018,0,,,
Chris Lacy,WR,75,205,4.51,33.5,11,120,,,2018,0,,,
Harold Landry,EDGE,75,252,4.64,36,24,119,6.88,4.19,2018,0,,,
Jordan Lasley,WR,73,203,4.5,34.5,8,112,,4.19,2018,0,,,
Kyle Lauletta,QB,75,222,4.81,31,,113,6.95,4.07,2018,0,,,
Allen Lazard,WR,77,227,4.55,38,17,122,,,2018,0,,,
Tanner Lee,QB,76,218,4.98,32,,115,7,4.41,2018,0,,,
Darius Leonard,OLB,74,234,4.7,,17,,,,2018,0,,,
Rick Leonard,OT,79,311,,,19,,,,2018,0,,,
Tyquan Lewis,EDGE,75,265,,35.5,,122,,,2018,0,,,
Chase Litton,QB,77,230,4.9,29.5,,106,7.49,4.53,2018,0,,,
James Looney,DE,75,287,4.89,35.5,28,113,7.32,4.37,2018,0,,,
Lowell Lotulelei,DT,74,315,,,28,,,,2018,0,,,
Avonte Maddox,CB,69,180,4.39,37,13,125,6.51,4,2018,0,,,
Cole Madison,OL,77,308,5.33,28.5,26,97,7.86,4.88,2018,0,,,
K.J. Malone,G,76,303,5.34,29.5,15,103,,,2018,0,,,
Tavares Martin,WR,73,177,4.8,31.5,,,,,2018,0,,,
Hercules Mata'afa,EDGE,73,254,4.76,31.5,26,108,7.24,4.37,2018,0,,,
Baker Mayfield,QB,73,215,4.84,29,,111,7,4.28,2018,0,,,
Ray-ray McCloud,WR,69,190,4.53,34.5,13,113,,,2018,0,,,
Mike McCray,ILB,76,243,4.76,31.5,16,119,7.09,4.25,2018,0,,,
Kc McDermott,G,78,311,5.35,23.5,26,97,7.72,4.82,2018,0,,,
Tarvarus McFadden,CB,74,198,4.67,38.5,,121,,,2018,0,,,
Mike McGlinchey,OT,80,309,,28.5,24,105,,,2018,0,,,
R.J. McIntosh,DT,76,286,,,,,,,2018,0,,,
Kahlil McKenzie,DT,77,314,5.15,29.5,26,105,7.94,4.68,2018,0,,,
Quenton Meeks,DB,74,205,,39,11,128,6.72,4.23,2018,0,,,
